 EPOCH1D v4.9.2   v4.9.2-0-ged589c1e-clean 1522760112.66               

 Loaded 65536 particles of species "Electron"
 Loaded 65536 particles of species "Ion"
Wrote normal  dump number  232 at time  0.232191881892E-13 and iteration    495
Wrote normal  dump number  233 at time  0.233130030910E-13 and iteration    497
Wrote normal  dump number  234 at time  0.234068179927E-13 and iteration    499
Wrote normal  dump number  235 at time  0.235006328945E-13 and iteration    501
Wrote normal  dump number  236 at time  0.236413552472E-13 and iteration    504
Wrote normal  dump number  237 at time  0.237351701489E-13 and iteration    506
Wrote normal  dump number  238 at time  0.238289850507E-13 and iteration    508
Wrote normal  dump number  239 at time  0.239227999525E-13 and iteration    510
Wrote full    dump number  240 at time  0.240166148543E-13 and iteration    512
Wrote normal  dump number  241 at time  0.241104297560E-13 and iteration    514
Wrote normal  dump number  242 at time  0.242042446578E-13 and iteration    516
Wrote normal  dump number  243 at time  0.243449670105E-13 and iteration    519
Wrote normal  dump number  244 at time  0.244387819123E-13 and iteration    521
Wrote normal  dump number  245 at time  0.245325968140E-13 and iteration    523
Wrote normal  dump number  246 at time  0.246264117158E-13 and iteration    525
Wrote normal  dump number  247 at time  0.247202266176E-13 and iteration    527
Wrote normal  dump number  248 at time  0.248140415193E-13 and iteration    529
Wrote normal  dump number  249 at time  0.249078564211E-13 and iteration    531
Wrote full    dump number  250 at time  0.250016713229E-13 and iteration    533
Wrote normal  dump number  251 at time  0.251423936756E-13 and iteration    536
Wrote normal  dump number  252 at time  0.252362085773E-13 and iteration    538
Wrote normal  dump number  253 at time  0.253300234791E-13 and iteration    540
Wrote normal  dump number  254 at time  0.254238383809E-13 and iteration    542
Wrote normal  dump number  255 at time  0.255176532827E-13 and iteration    544
Wrote normal  dump number  256 at time  0.256114681844E-13 and iteration    546
Wrote normal  dump number  257 at time  0.257052830862E-13 and iteration    548
Wrote normal  dump number  258 at time  0.258460054389E-13 and iteration    551
Wrote normal  dump number  259 at time  0.259398203406E-13 and iteration    553
Wrote full    dump number  260 at time  0.260336352424E-13 and iteration    555
Wrote normal  dump number  261 at time  0.261274501442E-13 and iteration    557
Wrote normal  dump number  262 at time  0.262212650460E-13 and iteration    559
Wrote normal  dump number  263 at time  0.263150799477E-13 and iteration    561
Wrote normal  dump number  264 at time  0.264088948495E-13 and iteration    563
Wrote normal  dump number  265 at time  0.265027097513E-13 and iteration    565
Wrote normal  dump number  266 at time  0.266434321040E-13 and iteration    568
Wrote normal  dump number  267 at time  0.267372470057E-13 and iteration    570
Wrote normal  dump number  268 at time  0.268310619075E-13 and iteration    572
Wrote normal  dump number  269 at time  0.269248768093E-13 and iteration    574
Wrote full    dump number  270 at time  0.270186917111E-13 and iteration    576
Wrote normal  dump number  271 at time  0.271125066128E-13 and iteration    578
Wrote normal  dump number  272 at time  0.272063215146E-13 and iteration    580
Wrote normal  dump number  273 at time  0.273001364164E-13 and iteration    582
Wrote normal  dump number  274 at time  0.274408587690E-13 and iteration    585
Wrote normal  dump number  275 at time  0.275346736708E-13 and iteration    587
Wrote normal  dump number  276 at time  0.276284885726E-13 and iteration    589
Wrote normal  dump number  277 at time  0.277223034744E-13 and iteration    591
Wrote normal  dump number  278 at time  0.278161183761E-13 and iteration    593
Wrote normal  dump number  279 at time  0.279099332779E-13 and iteration    595
Wrote full    dump number  280 at time  0.280037481797E-13 and iteration    597
Wrote normal  dump number  281 at time  0.281444705323E-13 and iteration    600
Wrote normal  dump number  282 at time  0.282382854341E-13 and iteration    602
Wrote normal  dump number  283 at time  0.283321003359E-13 and iteration    604
Wrote normal  dump number  284 at time  0.284259152377E-13 and iteration    606
Wrote normal  dump number  285 at time  0.285197301394E-13 and iteration    608
Wrote normal  dump number  286 at time  0.286135450412E-13 and iteration    610
Wrote normal  dump number  287 at time  0.287073599430E-13 and iteration    612
Wrote normal  dump number  288 at time  0.288011748448E-13 and iteration    614
Wrote normal  dump number  289 at time  0.289418971974E-13 and iteration    617
Wrote full    dump number  290 at time  0.290357120992E-13 and iteration    619
Wrote normal  dump number  291 at time  0.291295270010E-13 and iteration    621
Wrote normal  dump number  292 at time  0.292233419028E-13 and iteration    623
Wrote normal  dump number  293 at time  0.293171568045E-13 and iteration    625
Wrote normal  dump number  294 at time  0.294109717063E-13 and iteration    627
Wrote normal  dump number  295 at time  0.295047866081E-13 and iteration    629
